City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
159,Lompoc,US,34.6391,-120.4579,99.01,65,0,12.66,clear sky
160,Padang,ID,-0.9492,100.3543,73.45,93,100,3.58,light rain
161,Inta,RU,66.0317,60.1659,44.13,91,100,12.24,overcast clouds
162,Fort Saint James,CA,54.4333,-124.25,79.99,32,92,4.14,overcast clouds
163,Kibala,TD,9.1104,18.3463,70.83,99,92,3.18,light rain
164,Khatanga,RU,71.9667,102.5,36.01,79,100,5.7,overcast clouds
165,Sur,OM,22.5667,59.5289,81.75,66,3,7.52,clear sky
166,Kaitangata,NZ,-46.2817,169.8464,44.85,85,78,11.18,broken clouds
167,Alihe,CN,50.5667,123.7167,65.97,53,73,1.3,broken clouds
168,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,5.75,few clouds
169,Touros,BR,-5.1989,-35.4608,75.56,83,7,13.89,clear sky
170,Pravia,ES,43.4906,-6.1508,63.68,82,100,4.61,overcast clouds
171,Panormos,GR,35.4182,24.6909,74.66,78,0,6.78,clear sky
172,Juneau,US,58.3019,-134.4197,61.21,90,75,18.41,broken clouds
173,Mbandaka,CD,0.0487,18.2603,66.92,99,92,3.4,overcast clouds
174,Ponta Do Sol,PT,32.6667,-17.1,72.23,79,53,5.08,broken clouds
175,Oussouye,SN,12.485,-16.5469,80.69,90,80,6.29,light rain
176,Umm Kaddadah,SD,13.6017,26.6876,85.24,47,46,12.82,scattered clouds
177,Komsomolskiy,UZ,40.4272,71.7189,70.52,32,0,11.5,clear sky
178,Chokurdakh,RU,70.6333,147.9167,38.07,70,100,11.83,overcast clouds
179,Camacha,PT,33.0833,-16.3333,67.42,83,75,6.91,broken clouds
180,Najran,SA,17.4924,44.1277,77.65,32,45,2.55,scattered clouds
181,Guinticgan,PH,11.5641,123.1236,82.29,81,100,13.09,overcast clouds
182,Moron,AR,-34.6534,-58.6198,56.97,41,0,4.68,clear sky
